epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9711,1.19416,2.57386,1.38224,0.1448,0.036,0.00059,0.0001,3.05431,9.04782,9.83607,0.0705085,0.00327684,0.00327684
2,24.164,1.16126,1.91258,1.26908,0.07756,0.35468,0.07987,0.03819,2.09294,4.17899,3.34237,0.040443,0.00654473,0.00654473
3,32.913,1.1021,1.73944,1.21959,0.34273,0.28023,0.0531,0.02553,2.26404,2.95866,2.42699,0.0103116,0.00974662,0.00974662
