epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,237.84,0.71069,1.02753,1.00015,0.62547,0.73518,0.723,0.59869,0.78634,0.99222,0.79467,0.000540037,0.000540037,0.000540037
43,243.277,0.69553,1.01375,0.98818,0.60734,0.70353,0.6977,0.58121,0.78727,1.12423,0.79114,0.000531038,0.000531038,0.000531038
44,248.596,0.70772,1.00646,0.99172,0.58427,0.72863,0.70157,0.57581,0.84962,1.06671,0.81645,0.000522039,0.000522039,0.000522039
45,253.95,0.72427,1.00885,0.99534,0.57581,0.75461,0.71877,0.58852,0.84901,1.05891,0.80814,0.00051304,0.00051304,0.00051304
46,259.665,0.6851,0.97907,0.98657,0.62132,0.74816,0.71507,0.59681,0.7654,1.06666,0.77256,0.00050404,0.00050404,0.00050404
47,264.859,0.68226,0.96862,0.98994,0.60178,0.71855,0.73109,0.60847,0.80426,1.03762,0.79307,0.000495041,0.000495041,0.000495041
48,270.079,0.69543,0.99511,0.98946,0.63667,0.68887,0.71341,0.59944,0.77058,1.06141,0.76772,0.000486042,0.000486042,0.000486042
49,275.257,0.68766,0.97263,0.99449,0.61778,0.74192,0.71599,0.58643,0.82908,1.04527,0.80093,0.000477043,0.000477043,0.000477043
50,280.503,0.68637,0.95966,0.98897,0.63137,0.71003,0.73034,0.60824,0.76817,1.01886,0.77897,0.000468044,0.000468044,0.000468044
51,285.702,0.71729,0.96077,0.99026,0.58347,0.72272,0.70456,0.58044,0.78674,1.07605,0.79298,0.000459045,0.000459045,0.000459045
